condition,seed_id,seed,step,alpha,next_alpha,action,reason,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,ordinary_anchor_retention,traceable_transport_score,unfinished,loop_pressure,stock_pressure,guard_pressure,text
legacy,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,2,0.48,0.36,legacy,loop 1.000>0.500,0.004744657476436911,0.013333333333333334,0.7232709567739194,0.5,0.02924560546875,0.0,1.0,1.0,1.0,"Behind the shop, a weathered wooden door creaks open, allowing a staircase to descend into darkness, where a solitary, gaslit foyer contains a broken music box, a vase, and a small, leather-bound book, all surrounded by a faint, eerie glow."
legacy,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.36,0.2,legacy,unfinished 0.600>0.050; loop 1.000>0.500,0.015170438118022331,0.2611111111111111,0.29522129186602875,0.5,0.053862980769230774,0.6,1.0,0.6666666666666666,1.0,"As night descends, a lone violinist, its instrument serene and dark, stands at the edge of the foyer, gazing up the stairs where a figure, shrouded in shadows, slowly climbs, and a low, melancholy hum emanates from the broken music box, while the vase, once delicate,"
legacy,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,1,0.6,0.48,legacy,loop 1.000>0.500,0.0,0.0,0.755309375,0.75,0.04229934210526317,0.0,1.0,0.0,1.0,"The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar."
legacy,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,2,0.48,0.36,legacy,loop 1.000>0.500,0.20705079895262737,0.5880952380952381,0.7155898058005292,1.0,0.06286076923076922,0.0,1.0,0.0,1.0,"A rusty old bicycle leans against the garden gate, its wooden wheel slowly collapsing under the weight of vibrant, hand-painted flowers, vines, and moss, as the basket's weathered lid becomes an integral part of its newly formed haven, sheltering a tea set that glimmers like dew on a frosty morning."
legacy,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.36,0.2,legacy,unfinished 0.400>0.050; loop 1.000>0.500,0.04220291065616798,0.5633333333333334,0.23647856517935262,1.0,0.08773675860969389,0.4,1.0,0.0,1.0,"Beyond the garden, the rusty old bicycle's wheels slowly detach, and its wooden frame begins to disintegrate, while the vibrant flowers, vines, and moss become a communal breakfast table, and the tea set remains untouched, an ancient reliquary, as a visiting sorceress carries it gently, hidden in her"
hysteresis,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,1,0.6,0.48,dampen,loop 1.000>0.500; stock 0.675>0.600,0.0,0.0,0.756919359293013,0.75,0.02920325237771739,0.0,1.0,0.675,1.0,"The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony."
hysteresis,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,2,0.48,0.36,dampen,loop 1.000>0.500,0.0,0.0,0.7135571510432468,0.75,0.05439664089721255,0.0,1.0,0.3333333333333333,1.0,"Dust settles on the old woman's oilcan, a lone wooden pipe organ's stop, and a hairpin, now intertwined with a tangle of copper wires, alongside the scattered pages of a music book and a faint, forgotten perfume."
hysteresis,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.36,0.24,dampen,unfinished 0.400>0.050; loop 1.000>0.500; readability 0.467<0.550,0.0,0.0,0.46689592806945024,0.75,0.05596659836065575,0.4,1.0,0.0,1.0,"Near the base of the workbench, a small, rusty bicycle wheel has been attached to a wooden frame, its worn spokes tangled with a length of yellowed twine and a faded music sheet, which now serves as a makeshift awning to shield a small, cluttered desk from a pile of autumn leaves that drift"
hysteresis,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,1,0.6,0.48,dampen,loop 1.000>0.500,0.03683439782226145,0.1,0.717180642956804,0.25,0.018750000000000003,0.0,1.0,0.375,1.0,"Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice."
hysteresis,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,2,0.48,0.36,dampen,loop 1.000>0.500; stock 1.000>0.600,0.016222267257683217,0.044444444444444446,0.7032774822695036,1.0,0.06975149911336485,0.0,1.0,1.0,1.0,"The desktop's newly acquired orchestra is slowly disappearing, their tiny feet and delicate mechanisms vanished, leaving behind only a scattering of forgotten dust and a solitary, antique music box that remains, its heart still beating in time with the humming computer, as the spreadsheet's whispers gradually fill the quiet room."
hysteresis,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.36,0.24,dampen,loop 1.000>0.500; stock 1.000>0.600,0.013206501410320228,0.0380952380952381,0.6831910569105691,0.75,0.0393882463690156,0.0,1.0,1.0,1.0,"As the music box's gentle melody weaves through the emptying gallery, a lone, leather-bound book drifts from a dusty shelf, its worn cover creaking softly as it settles beside the antique music box, their synchronized heartbeat now accompanied by the faint, murmured pages of the book."
hysteresis,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,1,0.6,0.48,dampen,loop 1.000>0.500,0.0,0.0,0.720807608313438,0.5,0.029492783203125008,0.0,1.0,0.375,1.0,"A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill""."
hysteresis,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,2,0.48,0.36,dampen,loop 1.000>0.500; stock 1.000>0.600,0.004744657476436911,0.013333333333333334,0.7232709567739194,0.5,0.02924560546875,0.0,1.0,1.0,1.0,"Behind the shop, a weathered wooden door creaks open, allowing a staircase to descend into darkness, where a solitary, gaslit foyer contains a broken music box, a vase, and a small, leather-bound book, all surrounded by a faint, eerie glow."
hysteresis,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.36,0.24,dampen,unfinished 0.600>0.050; loop 1.000>0.500; readability 0.295<0.550; stock 0.667>0.600,0.015170438118022331,0.2611111111111111,0.29522129186602875,0.5,0.053862980769230774,0.6,1.0,0.6666666666666666,1.0,"As night descends, a lone violinist, its instrument serene and dark, stands at the edge of the foyer, gazing up the stairs where a figure, shrouded in shadows, slowly climbs, and a low, melancholy hum emanates from the broken music box, while the vase, once delicate,"
hysteresis,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,1,0.6,0.48,dampen,loop 1.000>0.500,0.0,0.0,0.755309375,0.75,0.04229934210526317,0.0,1.0,0.0,1.0,"The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar."
hysteresis,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,2,0.48,0.36,dampen,loop 1.000>0.500,0.20705079895262737,0.5880952380952381,0.7155898058005292,1.0,0.06286076923076922,0.0,1.0,0.0,1.0,"A rusty old bicycle leans against the garden gate, its wooden wheel slowly collapsing under the weight of vibrant, hand-painted flowers, vines, and moss, as the basket's weathered lid becomes an integral part of its newly formed haven, sheltering a tea set that glimmers like dew on a frosty morning."
hysteresis,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.36,0.24,dampen,unfinished 0.400>0.050; loop 1.000>0.500; readability 0.236<0.550,0.04220291065616798,0.5633333333333334,0.23647856517935262,1.0,0.08773675860969389,0.4,1.0,0.0,1.0,"Beyond the garden, the rusty old bicycle's wheels slowly detach, and its wooden frame begins to disintegrate, while the vibrant flowers, vines, and moss become a communal breakfast table, and the tea set remains untouched, an ancient reliquary, as a visiting sorceress carries it gently, hidden in her"
