condition,seed_id,seed,step,alpha,next_alpha,action,reason,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,ordinary_anchor_retention,traceable_transport_score,unfinished,loop_pressure,stock_pressure,guard_pressure,text
legacy_relaxed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,2,0.6799999999999999,0.7599999999999999,legacy,frontier 0.000<0.120,0.0,0.0,0.7160274088070636,0.75,0.05969824218750003,0.0,1.0,1.0,1.0,"The piano's worn lid opens, and a frail, elderly pianist, her fingers stained with age, begins to play a lullaby, while a gentle, antique steam pipe, adorned with delicate, etched patterns, releases a soothing mist, surrounding the teapot and its tranquil, steaming companions."
legacy_relaxed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.7599999999999999,0.8399999999999999,legacy,frontier 0.033<0.120,0.032724823076495525,0.264209598770774,0.40476904230811417,1.0,0.06351344999999999,0.4,1.0,0.5,1.0,"As the pianist's fingers dance across the worn keys, a petite, leather-bound book lying open on a nearby stool, its pages fluttering softly, revealing a handwritten manuscript with a poem that reads, ""In the silence, a gentle melody, and a teapot weeps, as the piano's worn lid c"
legacy_relaxed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,1,0.6,0.6799999999999999,legacy,frontier 0.000<0.120,0.0,0.0,0.755309375,0.75,0.04229934210526317,0.0,1.0,0.0,1.0,"The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar."
legacy_relaxed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,2,0.6799999999999999,0.7599999999999999,legacy,frontier 0.118<0.120,0.11764181908292394,0.25,0.906680686573595,1.0,0.03730681818181818,0.0,1.0,0.0,1.0,"The garden's wooden trellis, adorned with old, worn climbing roses, now cradles a small, polished wooden door, a study box from a child, propped against the trellis, its small, rusted lock frozen in time."
legacy_relaxed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.7599999999999999,0.8399999999999999,legacy,frontier 0.031<0.120,0.03079952759009401,0.2611111111111111,0.45235326575810497,1.0,0.058016878796355496,0.4,1.0,1.0,1.0,"A small, dusty, ornate music box, once a treasured toy of a child, now sits atop the small, polished wooden door, its ballerina still twirling to a slow, forgotten waltz, as a delicate, antique ironing board, once the garden's sole furniture, now holds a"
hysteresis_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,1,0.6,0.6799999999999999,boost,ontology 0.000<0.170 lower-enter,0.0,0.0,0.756919359293013,0.75,0.02920325237771739,0.0,1.0,0.675,1.0,"The blue mug, now empty and crumpled, lies next to a small, ornate box that was once the property of a elderly woman, now positioned on a cluttered workbench, amidst a tangle of gears, broken clockwork, and scattered papers detailing an unfinished symphony."
hysteresis_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,2,0.6799999999999999,0.5599999999999999,dampen,readability 0.430<0.550,0.03380506977687627,0.25,0.4297618837640004,1.0,0.0489061309070122,0.4,1.0,0.675,1.0,"The small, ornate box, once a treasured keepsake, now bears a small, cracked dent, and a faded label reads "" Memoir of a Lighthouse"", as a small, twirling whirlwind of old clockwork and scattered papers begins to organize itself into a peculiar, intricate harmonica, emitting a"
hysteresis_relaxed,seed01_a_blue_mug_near_the_sink,A blue mug near the sink,3,0.5599999999999999,0.43999999999999995,dampen,readability 0.444<0.550,0.032741492074384135,0.25,0.4436516541244463,1.0,0.06536622869318183,0.4,1.0,1.0,1.0,"The small, ornate box, now covered in a thin layer of dust, as the broken clockwork, gears, and scattered papers continue to reassemble into a makeshift harmonica, its melody weaving in and out of the faint hum of a nearby, long-dormant air conditioner, while a dusty, leather-bound"
hysteresis_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,1,0.6,0.6799999999999999,boost,ontology 0.100<0.170 lower-enter,0.03683439782226145,0.1,0.717180642956804,0.25,0.018750000000000003,0.0,1.0,0.375,1.0,"Its walls of numbers now a canvas of whispered secrets, the desktop is becoming a gallery for antique music boxes, their golden hearts pounding in rhythmic sync with the humming of the computer's hidden voice."
hysteresis_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,2,0.6799999999999999,0.6799999999999999,hold,inside hysteresis band,0.20643636537377894,0.55,0.7307999340618059,1.0,0.048856605351170576,0.0,1.0,0.725,1.0,"Among the antique music boxes, a violin stands upright, its varnished surface etched with faint, curved lines that seem to be singing an old, forgotten melody, as the spreadsheet, now a door, creaks open to reveal a narrow staircase leading down into a dimly lit, crystal-lined chandelier."
hysteresis_relaxed,seed02_the_spreadsheet_was_still_open,The spreadsheet was still open,3,0.6799999999999999,0.5599999999999999,dampen,readability 0.410<0.550,0.0,0.0,0.40969149822091,0.25,0.050752335304054055,0.4,1.0,0.35,1.0,"The crystal-lined chandelier, a twisting, crystalline spiral, descends down the narrow staircase, refracting a kaleidoscope of colors that whisper ancient tales and forgotten knowledge, while the violin's soft singing harmonizes with the soft, green glow of lu"
hysteresis_relaxed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,1,0.6,0.6799999999999999,boost,ontology 0.000<0.170 lower-enter,0.0,0.0,0.720807608313438,0.5,0.029492783203125008,0.0,1.0,0.375,1.0,"A dusty, old piano sits in a small, cluttered antique shop, its keys yellowed with age, as a steaming teapot and two mismatched cups sit beside it, and a small, handmade sign reads ""Waiting for a refill""."
hysteresis_relaxed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,2,0.6799999999999999,0.7599999999999999,boost,ontology 0.000<0.170 lower-enter,0.0,0.0,0.7160274088070636,0.75,0.05969824218750003,0.0,1.0,1.0,1.0,"The piano's worn lid opens, and a frail, elderly pianist, her fingers stained with age, begins to play a lullaby, while a gentle, antique steam pipe, adorned with delicate, etched patterns, releases a soothing mist, surrounding the teapot and its tranquil, steaming companions."
hysteresis_relaxed,seed03_i_am_waiting_for_the_printer,I am waiting for the printer,3,0.7599999999999999,0.6399999999999999,dampen,readability 0.405<0.550,0.032724823076495525,0.264209598770774,0.40476904230811417,1.0,0.06351344999999999,0.4,1.0,0.5,1.0,"As the pianist's fingers dance across the worn keys, a petite, leather-bound book lying open on a nearby stool, its pages fluttering softly, revealing a handwritten manuscript with a poem that reads, ""In the silence, a gentle melody, and a teapot weeps, as the piano's worn lid c"
hysteresis_relaxed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,1,0.6,0.6799999999999999,boost,ontology 0.000<0.170 lower-enter,0.0,0.0,0.755309375,0.75,0.04229934210526317,0.0,1.0,0.0,1.0,"The laundry basket now resides in the garden, a wooden frame worn smooth by years of rain and sun, its wicker slats overgrown with ivy, its lid slightly ajar."
hysteresis_relaxed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,2,0.6799999999999999,0.6799999999999999,hold,inside hysteresis band,0.11764181908292394,0.25,0.906680686573595,1.0,0.03730681818181818,0.0,1.0,0.0,1.0,"The garden's wooden trellis, adorned with old, worn climbing roses, now cradles a small, polished wooden door, a study box from a child, propped against the trellis, its small, rusted lock frozen in time."
hysteresis_relaxed,seed04_the_laundry_basket_by_the_door,The laundry basket by the door,3,0.6799999999999999,0.5599999999999999,dampen,readability 0.461<0.550,0.0,0.0,0.46095412475899344,1.0,0.05847405581550803,0.4,1.0,0.5,1.0,"Beneath the small, polished door, a dusty, old, leather-bound book, its cover worn and cracked, lies open on a bed of damp, green moss, as if it had been waiting for centuries, and beside the book, a wooden, intricately carved basket, slightly ajar, containing a few"
